Address,URL,Title
 (Brooklyn),https://newyork.craigslist.org/brk/egr/d/project-manager-super-for/6635756971.html,Project Manager/Super for CONCRETE CONSTRUCTION
 (Downtown),https://newyork.craigslist.org/mnh/egr/d/architect-engineer/6635132028.html,Architect/Engineer/Construction Manager
 (SoHo),https://newyork.craigslist.org/mnh/egr/d/architectural-proposals-and/6634907438.html,Architectural Proposals and Marketing Coordinator
,https://newyork.craigslist.org/brk/egr/d/junior-architect-designer/6634891862.html,Junior Architect / Designer / Draftsperson
 (Chinatown / Lit Italy),https://newyork.craigslist.org/mnh/egr/d/architectural-draft-persons/6634373673.html,ARCHITECTURAL DRAFT PERSONS
 (Manhattan),https://newyork.craigslist.org/mnh/egr/d/intern-architect-construction/6634347666.html,"intern- Architect, Construction Management"
 (NEW YORK),https://newyork.craigslist.org/que/egr/d/junior-architect/6634049902.html,JUNIOR ARCHITECT
 (West Village),https://newyork.craigslist.org/mnh/egr/d/office-assistant-assistant/6633721980.html,Office Assistant / Assistant Designer / Assistant Draftperson
 (LIC),https://newyork.craigslist.org/brk/egr/d/high-skill-fabricator/6633572564.html,High skill fabricator/Installer/Scenic
 (Midtown East),https://newyork.craigslist.org/mnh/egr/d/3d-visualization-artist/6633471457.html,3D Visualization Artist
 (long island city),https://newyork.craigslist.org/que/egr/d/engineer-architect-autocad/6633203435.html,engineer/architect/autocad
 (Flatiron),https://newyork.craigslist.org/mnh/egr/d/furniture-showroom-sales/6633058322.html,Furniture Showroom Sales Position
 (NEW YORK),https://newyork.craigslist.org/mnh/egr/d/architect-5-10-years/6632987850.html,Architect 5-10 Years' Experience
,https://newyork.craigslist.org/brk/egr/d/assistant-of-the-technician/6632968380.html,Assistant of the technician
 (Midtown West),https://newyork.craigslist.org/mnh/egr/d/intermediate-architect/6632835903.html,Intermediate Architect
" (Stamford, CT)",https://newyork.craigslist.org/wch/egr/d/senior-architect/6632748645.html,SENIOR ARCHITECT
 (Downtown),https://newyork.craigslist.org/mnh/egr/d/architect-2-3-years-experience/6632744472.html,Architect 2-3 years Experience
" (Stamford, CT)",https://newyork.craigslist.org/fct/egr/d/senior-architect/6632742961.html,SENIOR ARCHITECT
 (Downtown),https://newyork.craigslist.org/mnh/egr/d/interior-architect-interior/6632722090.html,Interior Architect/Interior Designer - Intermediate
 (Financial District),https://newyork.craigslist.org/mnh/egr/d/project-manager-needed-design/6632709791.html,Project Manager Needed - Design Build Firm
 (Upper West Side),https://newyork.craigslist.org/mnh/egr/d/architect-project-manager/6632708315.html,Architect: Project Manager
 (Financial District),https://newyork.craigslist.org/mnh/egr/d/design-architect-needed/6632698142.html,Design Architect Needed - Design Build Firm
 (Downtown),https://newyork.craigslist.org/mnh/egr/d/assistant-project-manager/6632605996.html,Assistant Project Manager- Immediate hire
 (Downtown),https://newyork.craigslist.org/mnh/egr/d/office-assistant-immediate/6632572320.html,Office assistant- Immediate hire
" (Albany, NY)",https://newyork.craigslist.org/mnh/egr/d/civil-engineer/6632526564.html,Civil Engineer
 (Maspeth),https://newyork.craigslist.org/que/egr/d/estimator-miscellaneous/6632213731.html,ESTIMATOR - Miscellaneous & Architectural Metals
 (Canal Street),https://newyork.craigslist.org/mnh/egr/d/technical-design-general/6631253906.html,Technical Design / General Purpose Smart Person / Technical Support
,https://newyork.craigslist.org/que/egr/d/mechanical-engineer-wanted/6631101586.html,Mechanical Engineer Wanted
 (Brooklyn),https://newyork.craigslist.org/brk/egr/d/project-manager/6631084553.html,Project Manager
,https://newyork.craigslist.org/que/egr/d/manufacturing-mechanical/6630859045.html,Manufacturing Mechanical Engineer
,https://newyork.craigslist.org/brx/egr/d/office-engineer-bronx/6630502590.html,Office Engineer (BRONX)
 (TriBeCa),https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope/6630449294.html,Facade / Building Envelope Architect or Engineer w/ CA Experience
,https://newyork.craigslist.org/mnh/egr/d/part-time-sketchup-model/6630381319.html,Part-time SketchUp Model-builder needed.
 (Queens),https://newyork.craigslist.org/que/egr/d/project-coordinator-steel/6630260123.html,Project Coordinator - Steel Construction Company
 (Financial District),https://newyork.craigslist.org/mnh/egr/d/project-architect/6630228347.html,Project Architect
 (Upper East Side),https://newyork.craigslist.org/mnh/egr/d/operating-engineer-and/6630222711.html,Operating Engineer and Maintenance Associate
 (NYC),https://newyork.craigslist.org/mnh/egr/d/mechanical-project-supervisor/6630188128.html,MECHANICAL PROJECT SUPERVISOR
,https://newyork.craigslist.org/brk/egr/d/architect-drafter/6630135090.html,Architect / Drafter
